ALL MODIFIERS-------------------------------------	WEAR	TOTL	ITEM	PASS	SPEL		PASSIVE			SPELLTYPE
Critical Damage		CRD	CRITDAMAGE	1	AE	300	170	80	50		O Brute 		
Critical Chance		CRC	CRITCHANCE	2	E	50	10	25	15		O Puncture 		
Life Steal		LST	LIFESTEAL	3	AE	30	10	10	10		O Bloodlust		
Add All Offense		AAO	ADDALLOFF	4	AER	500	200	200	100		O Onslaught		
Add All Defense		AAD	ADDALLDEF	5	AER	500	200	100	200		D Careful
Max Mana		MXM	MAXMANA		6	RE	5000	2000	2000	1000		N Manawell
Max Health		MXH	MAXHP		7	A	5000	2000	2000	1000		N Lifeblood
Armor Pen		ARP	ARMORPEN	8	AE	5000	1500	1500	1500		O Acuity
Magic Pen		MGP	MAGICPEN	9	R	5000	1500	1500	1500		M Voidbearer
Armor			ARM	ARMOR		10	AE	5000	2000	2000	1000		D Iron Skin
Melee AC		MEA	MELEEAC		11	AE	5000	2000	2000	1000		D Heavy Armor
Projectile AC		PRA	PROJAC		12	AE	5000	2000	2000	1000		D Heavy Armor
Poison AC		POA	POISONAC	13	AE	5000	2000	2000	1000		D Elemental Armor
Fire AC			FRA	FIREAC		14	AE	5000	2000	2000	1000		D Elemental Armor
Cold AC			CDA	COLDAC		15	AE	5000	2000	2000	1000		D Elemental Armor
Energy AC		ENA	ENERGYAC	16	AE	5000	2000	2000	1000		D Elemental Armor
All Resist		ARS	ALLRESIST	17	ER	5000	2000	2000	1000		D Diamond Skin
Melee Resist		MER	MELEERES	18	ER	5000	2000	2000	1000		D Heavy Refusal
Projectile Resist	PRR	PROJRES		19	ER	5000	2000	2000	1000		D Heavy Refusal	
Fire Resist		FRR	FIRERES		20	ER	5000	2000	2000	1000		D Elemental Refusal
Cold Resist		CDR	COLDRES		21	ER	5000	2000	2000	1000		D Elemental Refusal
Energy Resist		ENR	ENERGYRES	22	ER	5000	2000	2000	1000		D Elemental Refusal
Poison Resist		POR	POISONRES	23	ER	5000	2000	2000	1000		D Elemental Refusal
Add EXP			AEX	ADDEXP		24	AER	160	90	40	30		N Learning
Add Gold Find		AGF	GOLDFIND	25	AER	300	150	100	50		N Luck
Add Magic Find 		AMF	MAGICFIND	26	AER	300	150	100	50		N Treasure Hunter
Max Weight		MXW	MAXWEIGHT	27	AER	6000	2000	2000	2000		N Lifting
Heal Delta		HDL	HEALDELTA	28	A	600	200	300	100		N Regeneration 
Mana Delta		MDL	MANADELTA	29	R	600	200	200	200		N Energetic
Reflect %		REF	REFLECT		30	A	30	10	10	10		D Thornmail
Add Mana Cost %		UMC	ADDMANACOST	31	R	-35	-10	-10	-15		M Effecient
Add Damage		ADD	ADDDAMAGE	32	AE	500	200	200	100		O Savage
Magic Damage %		MGD	MAGICDAMAGE	33	R	300	200	150	50		M Wizard
Physical Damage %	PDM	PSYICALDAMAGE	34	AE	300	50	200	50		O Master of Arms
Slashing 		SLS	SLASHING	35	AE	700	230	230	230		O Swordsman
Piercing		PRC	PIERCING	36	AE	700	230	230	230		O Lancer
Bludgeoning		BLD	BLUDGEONING	37	A	700	230	230	230		O Warhammer
Dodging			DOG	DODGING		38	E	700	230	230	230		D Sidestep
WeightCapacity		WCP	WEIGHTCAPACITY	39	AER	700	230	230	230		N Caravan
Bashing			BSH	BASHING		40	AE	700	230	230	230		O Warhammer
Stealing 		STL	STEALING	41	E	700	230	230	230		N Thief
Hiding 			HID	HIDING		42	E	700	230	230	230		N Thief
Backstabbing 		BSB	BACKSTABBING	43	AE	700	230	230	230		N Thief
SpellResistance		SPR	SPELLRESISTANCE	44	R	700	230	230	230		D Repulsing
Healing			HEL	HEALING		45	AER	700	230	230	230		N Survivalist
Archery 		ARC	ARCHERY		46	E	700	230	230	230		O Archer
Endurance		END	ENDURANCE	47	A	700	230	230	230		D Survivalist
MartialArts		MRA	MARTIALARTS	48	AE	700	230	230	230		O Samurai
Mining			MIN	MINING		49	AER	700	230	230	230		N Prospector
Speech			SPE	SPEECH		50	AER	700	230	230	230		N Knowledge
SenseHeading		SNH	SENSEHEADING	51	AER	700	230	230	230		N Tracker
Energy			ENG	ENERGY		52	R	700	230	230	230		N Spirited
Haggling		HAG	HAGGLING	53	AER	700	230	230	230		N Merchant
Strength		STR	STRENGTH	54	AER	700	230	230	230		N Warrior
Stamina			STA	STAMINA		55	AER 	700	230	230	230		N Warrior
Agility			AGL	AGILITY		56	AER	700	230	230	230		N Rogue
Intelligence		INT	INTELLIGENCE	57	AER	700	230	230	230		N Mage
Sense			SEN	SENSE		58	AER 	700	230	230	230		N Rogue
Psychic			PSY	PSYCHIC		59	AER 	700	230	230	230		N Mage
CastInit		CST	CASTINIT	60	R	700	230	230	230		M Conjurer
Literacy 		LIT	LITERACY	61	AER	700	230	230	230		N Knowledge
Smithing		SMT	SMITHING	62	AER 	700	230	230	230		N Blacksmith
MagicCraft		MGC	MAGICCRAFT	63	AER 	700	230	230	230		N Workmanship
Alchemy 		ALC	ALCHEMY		64	AER	700	230	230	230		N Alchemist
SpellCapacity		SPC	SPELLCAPACITY	65	R	700	230	230	230		M Expanded Memory
WeaponHandling		WPN	WEAPONHANDLING	66	AE	700	230	230	230		O Heavy Weapons
EvadeMelee		EVA	EVADEMELEE	67	E	700	230	230	230		D Quickstep
Aiming			AIM	AIMING		68	AE	700	230	230	230		O Archer
Brawling		BRW	BRAWLING	69	AE	700	230	230	230		O Fighter
Cleave			CLV	CLEAVE		70	A	700	230	230	230		O Swordsman
Primal Magic		XXA	PRIMALMAGIC	71	R	700	230	230	230		M
Holy Magic		XXB	HOLYMAGIC	72	R	700	230	230	230		M
Empowerment		XXC	EMPOWERMENT	73	R	700	230	230	230		M
Dark magic		YYA	DARKMAGIC	74	R	700	230	230	230		M
Light Magic		YYB	LIGHTMAGIC	75	R	700	230	230	230		M
Ritual			YYC	RITUAL		76	R	700	230	230	230		M
Sorcery			ZZA	SORCERY		77	R	700	230	230	230		M
Protection		ZZB	PROTECTION	78	R	700	230	230	230		M
Enchantment		ZZC	ENCHANTMENT	79	R	700	230	230	230		M
Wisdom			FCS	WISDOM		80	R	700	230	230	230		M Voodoo
Block Hit %		BLK	BLOCKHIT%	81	S	50	30	10	10		D Redguard
Block Spell %		BLS	BLOCKSPELL%	82	S	50	30	10	10		D Whiteguard
Shield %		SHD	SHIELD%		83	/	30	0	0	0		/
Health %		HLP	HEALTH%		84	A	120	20	100	0		N Massive
Mana %			MPP	MANA%		85	R	120 	20	100	0		M Overpower
Damage to Demon		DMD	DAMAGEDEMON	86	AER	100	70	30	0		O Prayer
Damage to Undead	DMU	DAMAGEUNDEAD	87	AER	100 	70	30	0		O Living
Damage to Beast		DMB	DAMAGEBEAST	88	AER	100	70	30	0		O Hunter
Damage to Elite		DME	DAMAGEELITE	89	AER	100	100	0	0		/
Damage to Boss		DBS	DAMAGEBOSS	90	AER	100	100	0	0		/
Absorb			ABB	ABSORB		91	/	70	70	0	0		/
Mana To Health %	MTH	MANAHEALTH	92	R	20	10	10	0		N Mana Meshing X
Health to Mana %	HTM	HEALTHMANA    	93	R	20	10	10	0		N Blood Meshing X
Increase Damage	%	IND	INCDAMAGE%	94	W	100	100	0	0		/
Min Damage		MND	MINDAMAGE	95	AE	300	200	50	50		O Fighter
Max Damage		MXD	MAXDAMAGE	96	AE	500	300	200	100		O Fighter
Minion Health		MNH	MINIONHEALTH	97	/	200	0	100	100		M Necromancer
Minion Damage		MMM	MINIONDAMAGE	98	/	200	0 	100	100		M Necromancer
Max Memory		MAM	MAXMEMORY	99	AER	1200	1000	100	100		M Thinker
Attack Block		ATB	ATKBLOCK	100	/	/	/	/	/		/
Projectile type Dmg%    PJD	PROJDAMAGE%	101	AER	30	10	10	10		O Devistator
Fire type Damage %	FRD	FIREDAMAGE%	102	AER	30	10	10	10		O Mayhem
Cold type Damage %	CLD	COLDDAMAGE%	103	AER 	30	10	10	10		O Mayhem
Poison type Damage %	PSD	POISONDAMAGE%	104	AER 	30	10	10	10		O Snakemaster
Energy type Damage %	ENM	ENERGYDAMAGE%	105	AER	30	10	10	10		O Mayhem
Avoid Stun %		AVS	AVOIDSTUN	106	AER	50	10	20	20		D Heavy Skull
Avoid Root %		AVR	AVOIDROOT	107	AER	50	10	20	20		D Uprooting
Avoid Chill %		AVC	AVOIDCHILL	108	AER	50	10	20	20		D Thick Coat
Avoid Burn %		AVB	AVOIDBURN	109	AER	50	10	20	20		D Liquid
Avoid Poison %		AVP	AVOIDPOISON	110	AER	50	10	20	20		D Antiviral
Avoid Shock %		AVK	AVOIDSHOCK	111	AER	50	10	20	20		D Grounded
Avoid Crit %		AVT	AVOIDCRIT	112	AER	50	10	20	20		D Missing
Weapon Range		WPR	WEAPONRANGE	113	/	150	50	50	50		O Reach
Cast Range		CTR	CASTRANGE	114	/	150	50	50	50		M Flux
Healing %		HLG	HEALINGINC	115	AER	90	30	30	30		N Doctor
Absorb Temp		ABT	ABSORBTEMP	116	/	1000	0	0	1000		/
Increase Stun %		INS	INCSTUN		117	AER 	30	10	10	10		O Heavy Hitter
Increase Root %		INR	INCROOT		118	AER 	30	10	10	10		M Dirt
Increase Chill %	INC	INCCHILL	119	AER 	30	10	10	10		O Frostbite
Increase Burn %		INB	INCBURN		120	AER 	30	10	10	10		O Explosive
Increase Poison %	INP	INCPOISON	121	AER 	30	10	10	10		O Venomious
Increase Shock %	INK	INCSHOCK	122	AER 	30	10	10	10		O Electric
Ranged Damage %		RND	RANGEDDAMAGE	123	Q	200	100	100	0		O Bowman
Melee Damage %		MLD	MELEEDAMAGE	124	/	100	0	100	0		O Duelist
Slashing Damage %	SWD	SLASHINGDAMAGE	125	AE	120	20	100	0		O Swordsman
Piercing Damage %	PCD	PIERCINGDAMAGE	126	AE	120	20	100	0		O Lancer
Bludgeoning Damage %	BGG	BLUDGEDAMAGE	127	AE	120	20	100	0		O Warhammer
